RAW DATA,lables
databases,Non technical
consistency,Non technical
sql/nosql,Non technical
columnar databases,Non technical
distributed consensus,Non technical
CAP Theorem,Non technical
RAFT,Non technical
"map-reduce, reliable multicast",technical
Paxos,Non technical
CI/CD,Non technical
Github,technical
Makefiles,Non technical
Microservices,Non technical
AWS,technical
GCPNode.js,Non technical
REST APIs servicesExperience writing tools,technical
Ruby,Non technical
PerlExperience,Non technical
Bazel,Non technical
toolingScala programming experienceKnowledge,technical
HTTP 2/websocket,technical
binary protocolsExperience,Non technical
Redis,technical
experience building cloud environments,technical
Excellent Unix/Linux experience and programming experience,technical
scripting,Non technical
"python, shell",technical
IPC mechanisms,Non technical
TCP/IP,Non technical
Kafka,Non technical
zmq,Non technical
grpc,Non technical
microservice architecture,technical
orchestration,technical
docker,Non technical
kubernetes,technical
cloud environments,technical
etcd,Non technical
service meshes,technical
envoy,Non technical
vault,technical
API gateways,technical
load balancers,Non technical
databases,Non technical
consistency,Non technical
sql/nosql,Non technical
columnar databases,Non technical
distributed consensus,Non technical
CAP Theorem,Non technical
RAFT,Non technical
"map-reduce, reliable multicast",technical
Paxos,Non technical
CI/CD,Non technical
Github,technical
Makefiles,Non technical
Microservices,Non technical
AWS,technical
GCPNode.js,Non technical
REST APIs servicesExperience writing tools,technical
Ruby,Non technical
PerlExperience,Non technical
Bazel,Non technical
toolingScala programming experienceKnowledge,technical
HTTP 2/websocket,technical
binary protocolsExperience,Non technical
Redis,technical
Web UIExperience,technical
JavaScript,technical
HTML,Non technical
CSS,Non technical
algorithms,Non technical
standard (W3C) Web UI APIs,technical
the following types frameworks/libraries/languages,Non technical
Angular,Non technical
Meteor,Non technical
Ember,Non technical
Knockout,Non technical
UI Component libraries,technical
Vue,Non technical
Bootstrap,Non technical
ES6,Non technical
TypeScript,Non technical
Dependency injection patterns,Non technical
Async Module Definition,technical
"AMD, requireJS",Non technical
commonJS,Non technical
Stylesheet languages,Non technical
SASS,Non technical
Redux,Non technical
Reactive Programming,technical
RxJS,Non technical
JavaStrong programming skills,technical
lambdas,Non technical
optionals,Non technical
Guice knowledge,technical
Protobuf knowledge,technical
:Familiarity,Non technical
consuming service oriented architecture layers,technical
APIs,Non technical
highly scalable applications,Non technical
Web UI:Deep understanding,technical
JSON,Non technical
JavaScript Design,technical
Architectural Patterns,Non technical
Proficiency,Non technical
Maven,Non technical
", Eclipse/NetBeans/IntelliJ",Non technical
Spring/Guice,Non technical
JPA/Hibernate,Non technical
JavaExperience,Non technical
highly distributed and scalable systems,technical
Containers knowledge,technical
Multi-threaded concepts,Non technical
latency,Non technical
heap,Non technical
profiling,Non technical
distributed troubleshooting,Non technical
NoSQL,technical
MongoDB,Non technical
Cassandra,Non technical
Redis,technical
Java Application Servers,technical
Oracle WebLogic,technical
JBoss,Non technical
Tomcat,technical
frameworks,technical
Jasmine,Non technical
Karma,Non technical
Protractor,Non technical
Junit,Non technical
Cross-browser techniques,Non technical
Chrome Dev Tools,technical
Responsive design implementation,technical
Browser performance auditing,technical
tuning,technical
distributed code repositories,technical
"(Git, Perforce",technical
Scrum / Kanban,Non technical
Guice,Non technical
GRPC,Non technical
-,Non technical
-,Non technical
/BTech/BS,Non technical
Excellent analytical and problem-solving skills,Non technical
Proven-deep-expertise,Non technical
Python programming,technical
Python,technical
frameworks,technical
Django,Non technical
Flask,Non technical
APIs,Non technical
any RDBMS and strong SQL knowledge,technical
Unix / Linux command line,technical
Object-oriented concepts,Non technical
Familiarity,Non technical
UI frameworks,technical
Redux,Non technical
usability design,technical
Hadoop / Hive / Presto,technical
ML/AI frameworks,technical
TensorFlow,Non technical
H20,Non technical
noSQL databases,technical
docker and container platforms,technical
Mesos,Non technical
Kubernetes,technical
Application benchmarking,technical
optimization,technical
Building user interface applications,technical
analytical devices,Non technical
measurement and control algorithms,technical
UI Applications,technical
"analytical, medical, or automotive devices",technical
Proficiency,Non technical
programming user interfaces,technical
the Qt Framework,technical
QML,Non technical
Qt/C++,Non technical
regulated markets,technical
embedded Linux-Systems,technical
RasPi,Non technical
BeagleBone,Non technical
SQL,technical
IP-based network protocols,technical
the Linux-Yocto distribution,technical
Myntra’s new product platforms,technical
mentor,Non technical
Architects,Non technical
DevOps engineers,technical
architectural and design best practices,technical
deployment,technical
scaling,Non technical
availability characteristics,Non technical
the long-term architectural direction,Non technical
platforms/ reusable components,Non technical
a nimble delivery process,technical
reliability,Non technical
extensibility,Non technical
deliverables,Non technical
next generation extensible web,technical
mobile and fashion commerce platforms,technical
security protocols,technical
customisation,Non technical
continuous scaling,Non technical
internationalization,Non technical
extensions,technical
the architectural governance,technical
directional paths,Non technical
new technology stacks,technical
multiple technology domains,technical
Myntra,Non technical
external technical forums,technical
business stakeholders,technical
-,Non technical
"term, long-term roadmaps",Non technical
excellent abstraction,Non technical
coding,Non technical
a startup/e-commerce ecosystem,Non technical
a high growth & matrix environment,Non technical
an efficient proficient problem-solver,Non technical
business and technical perspectives,technical
workable solutions,Non technical
leading product development end-end (portfolio,technical
-,Non technical
architectures,technical
multi-million sessions/transactions,Non technical
rdbms & NoSQL stores,technical
massively large scale distributed internet systems,technical
Java/GO,Non technical
multi-threading and performance oriented programming,technical
highly scalable products,technical
reliability,Non technical
queues,Non technical
frameworks,technical
object-oriented programming,technical
concurrency,Non technical
fundamentals,technical
Developing user-facing web applications,technical
"reusable, modular code",technical
Bachelor,Non technical
Backend services,technical
React JS,Non technical
JS/TypeScript,Non technical
Redux,Non technical
Webpack bundling,Non technical
Dev tools,technical
markup languages,Non technical
HTML5,technical
CSS3,Non technical
CSS,Non technical
pre-processing platforms,Non technical
SASS,Non technical
SCSS,technical
Mysql,technical
Postgres,Non technical
Data modeling skills,technical
the testing frameworks,technical
code versioning tool - Git,technical
all phases,Non technical
deployment,technical
a standardized IT methodology,Non technical
Detail Design phases,technical
outputs,Non technical
architectural development,technical
modifications,Non technical
specifications,Non technical
congruence,Non technical
the compatibility,Non technical
interdependent technologies,technical
computing related technology programs,technical
Minimum 1 year Java design and development experience,technical
Spring and Hibernate based solutions,technical
technical expertise,technical
statistical programming tasks,technical
technical expertise,technical
the Statistical Programming department,technical
High-Quality Deliverables,Non technical
more complex assigned tasks,Non technical
appropriate validation requirements,technical
SOPs,Non technical
Checks programming logs,technical
cleanliness,Non technical
Inputs,Non technical
programming specifications datasets,technical
datasets,Non technical
Handles,Non technical
dataset derivations,Non technical
Programs TLFs,Non technical
biostatistical tools,technical
questions specification,Non technical
consistency,Non technical
lead programmer,technical
the Biostatistical Team Lead,technical
supervisor,Non technical
project specific macros,technical
SOPs,Non technical
timely progress updates,Non technical
EAC,technical
documents timelines,Non technical
BIOSETUP,Non technical
integrated databases,Non technical
project macros,technical
SAP,technical
shells,Non technical
programming specifications,technical
safety outputs,technical
Shares accountability,Non technical
contract and budget assumptions,technical
rework,Non technical
mentors junior staff,Non technical
(QC) review,Non technical
define xmls,Non technical
ADaM reviewers guide,technical
SDRG,Non technical
ADRG,Non technical
lead programmer role,technical
proactive approach,Non technical
efficiencies,Non technical
protocols,technical
RFPs,Non technical
bid defenses,Non technical
operational topics,technical
Master's Degree Computer science,technical
Bachelor's Degree Computer science,technical
CDISC/ADaM/SDTM,Non technical
Base SAS,technical
SAS/STAT,Non technical
SAS Macro Language,technical
"Good organizational, interpersonal, leadership and communication skills",technical
coworkers,Non technical
"a talented, enthusiastic, and detail-oriented Data Engineer",technical
an agile way,technical
analysis data modeling,technical
deployment,technical
big data pipelines,technical
the Data Analytics team,technical
Coda,Non technical
data pipelines,technical
analytical techniques,Non technical
insights,Non technical
ETL,Non technical
big data pipelines,technical
AWS technologies,technical
Redshift,Non technical
S3,Non technical
EMR,technical
EC2,Non technical
DynamoDB,Non technical
Kinesis Firehose,Non technical
Lambda,technical
ML teams,Non technical
new behavioural events,technical
pipelines,Non technical
datasets,Non technical
our offline analytics capabilities,technical
Tableau,Non technical
our real time dash boarding capabilities,technical
Bachelor’s degree,Non technical
a similar quantitative field,Non technical
Redshift,Non technical
another columnar store DW,technical
cloud solutions / AWS / Azure / Google cloud,technical
data visualization,technical
Hadoop/MapReduce/AWS,Non technical
EMR,technical
Spark/Scala/PySpark/ Apache Kafka / Kinesis Streams / AWS Glue,technical
reporting/analytics platforms,Non technical
Experience building flexible data APIs,technical
the business Preferred Qualifications,technical
a data/software developer/scientist,Non technical
predictive analytics/decision models,technical
data mining libraries,technical
algorithm design,technical
problem solving,Non technical
Agile Development,technical
Collaborative Filtering,Non technical
our iOS mobile application,technical
high visibility,Non technical
the fundamentals,technical
algorithms,Non technical
relevant SWE experience,technical
iOS apps,technical
"Preferably, apps",technical
the AppStore,Non technical
XCode.. Experience,technical
(MVVM,Non technical
Proficiency,Non technical
Multi-threading and performance & memory optimization,technical
RESTful APIs,Non technical
Proficient understanding,Non technical
code versioning tools,technical
Git,technical
individual projects priorities,technical
deadlines,Non technical
deliverables,Non technical
your technical expertise,technical
bottlenecks,Non technical
our software stack,technical
Rubrik Software Engineers,technical
self-starters,Non technical
a limitless drive,Non technical
Bachelor,Non technical
Master’s degree,technical
Proficiency,Non technical
Scala,Non technical
Python,technical
Google Cloud Platform/AWS/Azure,technical
Unix/Linux environments,Non technical
Windows environments,technical
networking,technical
hypervisors,Non technical
databases,Non technical
AWS,technical
Azure,technical
GCP,technical
databases,Non technical
AWS,technical
granular file recovery,technical
Kubernetes Service,technical
AWS,technical
elastic compute,technical
technical specifications,technical
a concise and effective manner,Non technical
agile activities,technical
sprint planning,technical
thorough knowledge,technical
key architectural decisions,technical
design considerations,technical
detailed RCA,Non technical
Bachelor,Non technical
master’s degree,technical
object-oriented languages,Non technical
developing Microservices,Non technical
RESTful services,technical
other SOA development experience,technical
preferably AWS,technical
ORM,Non technical
Entity Framework,technical
Nhibernate,Non technical
Strong TDD approach,Non technical
Nunit,Non technical
xUnit,Non technical
frameworks,technical
OOP and SOLID design principles,technical
public cloud providers,technical
Azure,technical
modern java script frameworks,technical
Highly efficient data persistent design techniques,technical
data retrieval performance,technical
(queries,Non technical
designs/queries,Non technical
Proficient experience,technical
relational databases,Non technical
Microsoft SQL Server/Postgres,technical
other non-relational DBs,Non technical
MongoDB,Non technical
concurrency,Non technical
parallel work streams,Non technical
Agile practices,technical
Debugging/Troubleshooting functional and technical issues,technical
Performance/Optimization techniques,Non technical
proactively codes,Non technical
"Excellent analytical, quantitative, and problem-solving abilities",Non technical
algorithms,Non technical
minimal oversight,Non technical
multiple concurrent priorities,technical
a fast-paced environment,Non technical
Strong interpersonal,Non technical
 Utilizes knowledge,technical
Xamarin,Non technical
 Transforms business requirements,technical
technical specifications,technical
a DevOps model,technical
debug,Non technical
 Generating testing and test cases,technical
uniformity,Non technical
Architects,Non technical
various prototypes,Non technical
 Bachelor’s degree,Non technical
LINQ,Non technical
Rest APIs,Non technical
Xamarin Forms,technical
Xamarin Native development,technical
"(Xamarin iOS, Xamarin Droid",Non technical
Xamarin Studio,technical
Xamarin,Non technical
both Apple iOS and Android platforms,technical
Xamarin Apps,technical
UWP,Non technical
XAML,Non technical
e.g. Azure integrations,technical
Azure Active Directory,technical
Notifications,technical
HockeyApp/Visual Studio App Center,technical
Continuous Integration,technical
CI,Non technical
DevOps,technical
Automation Testing,technical
Xamarin,Non technical
Xamarin Profiler,Non technical
Various code repositories,technical
Git,technical
TFS,Non technical
MVVM Architecture,technical
an Agile methodology,technical
VSTS,Non technical
Overall Cross Platform app development ecosystem,technical
lifecycle,technical
roadmaps,Non technical
Portable Class Library,technical
PCL,Non technical
SQLite,Non technical
cross-platform UX design,technical
Xamarin Binding,Non technical
SAP HANA REST API Integration,technical
Xamarin,Non technical
Xamarin Forms,technical
Core Java,technical
Swift / XCode,Non technical
a fast-paced & complex environment,Non technical
a self-motivated work ethic,Non technical
urgency,Non technical
 Willingness,Non technical
all relevant SOPs,Non technical
servicesIntegrate Highspot,Non technical
external APIs,Non technical
CRM,technical
CMS,Non technical
"clean, reusable, supportable, and well-tested RESTful APIs",technical
Highspot’s external API,technical
Highspot’s Salesforce integrations,technical
functionality,technical
-,Non technical
UX,Non technical
maintainable and testable code,technical
internal and external technical documentation,technical
Proficiency,Non technical
APIs,Non technical
data formats,technical
data transformations,technical
scalable internet software,technical
object-oriented and functional design patterns,technical
Highspot’s Infrastructure Platform crew,technical
other feature crews,Non technical
DevOps,technical
frameworks,technical
Highspot,Non technical
highly-scalable and reliable infrastructure,technical
other engineering crews,technical
highly-availability distributed services,technical
observability,Non technical
shared frameworks,technical
caches,Non technical
indexes,Non technical
frameworks,technical
-,Non technical
Highspot’s feature engineering crews,technical
as well as with DevOps/Site-Reliability,Non technical
maintainable and testable code,technical
internal and external technical documentation,technical
Proficiency,Non technical
cloud computing,technical
containerization,Non technical
Kubernetes,technical
scalable internet software,technical
object-oriented and functional design patterns,technical
Clojure,Non technical
Angular,Non technical
Vue,Non technical
.. APIs,Non technical
emerging frameworks,technical
architectural patterns,Non technical
Node,Non technical
Typescript,Non technical
industry leading cloud providers,technical
AWS,technical
Azure,technical
GCP,technical
Operational efficiencies,technical
modern ecosystems,Non technical
automated build and deployment pipelines,technical
Collaborative build practices,Non technical
a collaborative product engineering team,technical
a velocity multiplier,Non technical
the refinement,Non technical
the entire software stack,technical
API,technical
UI components,technical
the norms,Non technical
other software development capabilities,technical
agile techniques,technical
oversight,Non technical
the project roadmap,technical
emerging technologies,technical
frameworks,technical
cloud-based ecosystems,Non technical
proven validation techniques,technical
scripts,Non technical
routines,Non technical
production environments,technical
Angular,Non technical
Vue,Non technical
.. APIs,Non technical
emerging frameworks,technical
architectural patterns,Non technical
Node,Non technical
Typescript,Non technical
industry leading cloud providers,technical
AWS,technical
Azure,technical
GCP,technical
Operational efficiencies,technical
modern ecosystems,Non technical
automated build and deployment pipelines,technical
Collaborative build practices,Non technical
a collaborative product engineering team,technical
the refinement,Non technical
other talented software engineers,technical
architects,Non technical
the entire software stack,technical
API,technical
UI components,technical
the norms,Non technical
emerging technologies,technical
frameworks,technical
cloud-based ecosystems,Non technical
other software development capabilities,technical
agile techniques,technical
proven validation techniques,technical
scripts,Non technical
routines,Non technical
production environments,technical
Angular,Non technical
Vue,Non technical
.. APIs,Non technical
emerging frameworks,technical
architectural patterns,Non technical
Node,Non technical
Typescript,Non technical
industry leading cloud providers,technical
AWS,technical
Azure,technical
GCP,technical
Operational efficiencies,technical
modern ecosystems,Non technical
automated build and deployment pipelines,technical
Collaborative build practices,Non technical
a collaborative product engineering team,technical
a velocity multiplier,Non technical
the refinement,Non technical
the entire software stack,technical
API,technical
UI components,technical
the norms,Non technical
other software development capabilities,technical
agile techniques,technical
oversight,Non technical
the project roadmap,technical
emerging technologies,technical
frameworks,technical
cloud-based ecosystems,Non technical
proven validation techniques,technical
scripts,Non technical
routines,Non technical
production environments,technical
Automated analysis,technical
UI,technical
Data annotation,technical
robust code,technical
a biotechnology,Non technical
Python,technical
cloud computing,technical
automated analysis,technical
annotation,Non technical
advanced display and data manipulation,technical
strong Python coding skills,technical
a great back catalogue,technical
homebrew projects,technical
documentation,technical
your sleeves,Non technical
Degree qualification,Non technical
Python,technical
Ideally some exposure,Non technical
genomic file formats,technical
product enhancements,technical
Workplace Search,technical
Elasticsearch,Non technical
Kibana,Non technical
mentor,Non technical
international teammates,technical
"a mostly text-based, asynchronous, remote-first team environment",Non technical
yearly conferences,Non technical
constructive feedback,Non technical
the team’s overall technical strategy,technical
a product roadmap,technical
technical deliverables,technical
an important and communicative part,Non technical
an engaged and spirited team,Non technical
all support and escalations tickets,technical
workarounds,Non technical
promptly follow-up,Non technical
DevOPS,technical
Self-starter,Non technical
"a high-pressure, fast-paced, fast growth environment",technical
knowledge base entries,technical
the Support Portal,technical
SLA,Non technical
a timely manner,Non technical
Strong TCP/IP knowledge,technical
Proxies,Non technical
NG Firewalls,Non technical
SSL/IPSec,Non technical
VPN,Non technical
SSO,technical
Familiarity,Non technical
DLP and Encryption gateways,technical
Demonstrable experience,technical
configuration,technical
UNIX/Linux,Non technical
Windows­ based systems,technical
prior Active Directory/LDAP experience,technical
various scenarios,Non technical
tcpdump,Non technical
protocols,technical
(TCP/IP,Non technical
DNS,Non technical
DHCP,Non technical
Familiarity,Non technical
Strong empathy,Non technical
Interpersonal Skills,Non technical
Zendesk,Non technical
other support portal tools,technical
Bachelors or Masters degree,Non technical
all support and escalations tickets,technical
workarounds,Non technical
promptly follow-up,Non technical
DevOPS,technical
Self-starter,Non technical
"a high-pressure, fast-paced, fast growth environment",technical
knowledge base entries,technical
the Support Portal,technical
SLA,Non technical
a timely manner,Non technical
Strong TCP/IP knowledge,technical
Proxies,Non technical
NG Firewalls,Non technical
SSL/IPSec,Non technical
VPN,Non technical
SSO,technical
Familiarity,Non technical
DLP and Encryption gateways,technical
Demonstrable experience,technical
configuration,technical
UNIX/Linux,Non technical
Windows­ based systems,technical
prior Active Directory/LDAP experience,technical
various scenarios,Non technical
tcpdump,Non technical
protocols,technical
(TCP/IP,Non technical
DNS,Non technical
DHCP,Non technical
Familiarity,Non technical
Strong empathy,Non technical
Interpersonal Skills,Non technical
Zendesk,Non technical
other support portal tools,technical
Bachelors or Masters degree,Non technical
billions,Non technical
Excellent grasp,Non technical
Python,technical
advanced SQL,technical
MLOps processes,Non technical
tooling,technical
production and debugging complex systems,technical
their mathematical concepts,Non technical
sklearn,Non technical
SparkML,Non technical
pandas,Non technical
NumPy,Non technical
similar packages,Non technical
deep learning packages,technical
Tensorflow,Non technical
PyTorch,Non technical
Keras,Non technical
Spark,Non technical
Elasticsearch,Non technical
Kubernetes,technical
Familiarity,Non technical
AWS,technical
automation technologies,technical
"e.g., Kubernetes",technical
Jenkins,Non technical
GNN,Non technical
RL,Non technical
Recommender Systems,technical
NLP techniques,Non technical
embeddings,Non technical
attention mechanisms,Non technical
Familiarity,Non technical
the information/cyber security domain,technical
the underlying mathematical models,Non technical
exploratory data analysis,technical
algorithms,Non technical
synthetic data sets,technical
statistical and machine learning models,technical
efficacy,Non technical
Analyzes,Non technical
debugs,Non technical
software enhancements,technical
"local, networked, or Internet-related computer programs",Non technical
debugging,Non technical
documentation,technical
necessary modifications,Non technical
reviews product/project deliverables,Non technical
the life cycle methodologies,technical
"i.e., impact assessments",Non technical
external & internal specifications,Non technical
manuals,Non technical
QA test plans,technical
scripts,Non technical
the ACI Code,technical
troubleshooting,Non technical
Bachelor’s degree,Non technical
6 to 8 years professional Java development experience,technical
SDLC,Non technical
Agile,technical
the following development languages / frameworks / tools,technical
Micro-services architecture,technical
containers,Non technical
orchestration tools,technical
e.g. Azure,technical
docker,Non technical
Kubernetes,technical
OpenShift,technical
K8 cluster,technical
micro-services deployment,technical
other frameworks/tools,Non technical
Nginx/Ingres,Non technical
API Gateway,technical
Service Mesh,technical
(e.g. Istio,technical
sensitive data encryption,technical
e.g. HashiCorp/HSM integration,technical
the following code versioning,technical
i.e. Git,technical
TortoiseGit / Sourcetree,Non technical
BitBucket,technical
JIRA,Non technical
testing frameworks,technical
i.e. Junit,Non technical
Mockito,Non technical
Application Servers,technical
JBoss,Non technical
WebSphere,technical
Tomcat,technical
Database Servers,technical
PostgreSQL,Non technical
Oracle,technical
MSSQL,Non technical
Linux,technical
Object Oriented Programming knowledge,technical
shell scripting,Non technical
JAXB,Non technical
Apache Commons,technical
Apache POI,technical
Eclipse / STS,technical
XML,technical
XSD,Non technical
Apache Ant,technical
Linux bash scripting,technical
SQL,technical
DDL,Non technical
DML,Non technical
JDBC,Non technical
liquibase,Non technical
Java Message Service,technical
JMS,Non technical
our preferred technology stack,technical
(Primarily Elixir/Phoenix,Non technical
LiveView,Non technical
Ruby,Non technical
Rails,Non technical
modern JavaScript,technical
amazing GraphQL,Non technical
RESTful APIs,Non technical
our backend service teams,technical
modern JavaScript technologies,technical
a collaborative agile/scrum environment,Non technical
strong competencies,Non technical
algorithms,Non technical
software craftsmanship,technical
API development,technical
Ruby,Non technical
Rails,Non technical
Sinatra,Non technical
Django,Non technical
Node,Non technical
Git,technical
GitHub,technical
A strong grasp,Non technical
relational databases,Non technical
PostgreSQL,Non technical
MySQL,technical
Exq,Non technical
Sidekiq,Non technical
Celery,Non technical
Beanstalk,Non technical
RabbitMQ,Non technical
Kafka,Non technical
testing frameworks,technical
ExUnit,Non technical
RSpec,Non technical
Jest,Non technical
pytest,Non technical
profiling tools,technical
familiarity,Non technical
caching strategies,Non technical
third party APIs,Non technical
Elixir,Non technical
GraphQL APIs,Non technical
Absinthe,Non technical
GraphQL,Non technical
subscriptions,Non technical
GCP,technical
Kubernetes,technical
JavaScript SSR,technical
startups,Non technical
esports,Non technical
our preferred technology stack,technical
(Primarily Elixir/Phoenix,Non technical
LiveView,Non technical
Ruby,Non technical
Rails,Non technical
amazing GraphQL,Non technical
RESTful APIs,Non technical
our backend service teams,technical
Willingness,Non technical
modern JavaScript technologies,technical
a collaborative agile/scrum environment,Non technical
strong competencies,Non technical
algorithms,Non technical
software craftsmanship,technical
API development,technical
Ruby,Non technical
Rails,Non technical
Sinatra,Non technical
Django,Non technical
Node,Non technical
Git,technical
GitHub,technical
A strong grasp,Non technical
relational databases,Non technical
PostgreSQL,Non technical
MySql,technical
Exq,Non technical
Sidekiq,Non technical
Celery,Non technical
Beanstalk,Non technical
Kafka,Non technical
RabbitMQ,Non technical
testing frameworks,technical
ExUnit,Non technical
RSpec,Non technical
Jest,Non technical
pytest,Non technical
profiling tools,technical
familiarity,Non technical
caching strategies,Non technical
third party APIs,Non technical
Elixir,Non technical
GraphQL APIs,Non technical
Absinthe,Non technical
GraphQL,Non technical
subscriptions,Non technical
GCP,technical
Kubernetes,technical
JavaScript SSR,technical
startups,Non technical
esports,Non technical
our preferred technology stack,technical
(Primarily Elixir/Phoenix/LiveView,Non technical
Ruby,Non technical
Rails,Non technical
modern JavaScript,technical
amazing GraphQL,Non technical
RESTful APIs,Non technical
our backend service teams,technical
modern JavaScript technologies,technical
a collaborative agile/scrum environment,Non technical
strong competencies,Non technical
algorithms,Non technical
software craftsmanship,technical
API development,technical
Ruby,Non technical
Rails,Non technical
Sinatra,Non technical
Django,Non technical
Node,Non technical
Git,technical
GitHub,technical
A strong grasp,Non technical
relational databases,Non technical
PostgreSQL,Non technical
MySQL,technical
Exq,Non technical
Sidekiq,Non technical
Celery,Non technical
Beanstalk,Non technical
RabbitMQ,Non technical
Kafka,Non technical
testing frameworks,technical
ExUnit,Non technical
RSpec,Non technical
Jest,Non technical
pytest,Non technical
profiling tools,technical
familiarity,Non technical
caching strategies,Non technical
third party APIs,Non technical
Elixir,Non technical
GraphQL APIs,Non technical
Absinthe,Non technical
GraphQL,Non technical
subscriptions,Non technical
GCP,technical
Kubernetes,technical
JavaScript SSR,technical
startups,Non technical
esports,Non technical
our preferred technology stack,technical
(Primarily Elixir/Phoenix,Non technical
LiveView,Non technical
Ruby,Non technical
Rails,Non technical
amazing GraphQL,Non technical
RESTful APIs,Non technical
our backend service teams,technical
Willingness,Non technical
modern JavaScript technologies,technical
a collaborative agile/scrum environment,Non technical
strong competencies,Non technical
algorithms,Non technical
software craftsmanship,technical
API development,technical
Ruby,Non technical
Rails,Non technical
Sinatra,Non technical
Django,Non technical
Node,Non technical
Git,technical
GitHub,technical
A strong grasp,Non technical
relational databases,Non technical
PostgreSQL,Non technical
MySql,technical
Exq,Non technical
Sidekiq,Non technical
Celery,Non technical
Beanstalk,Non technical
Kafka,Non technical
RabbitMQ,Non technical
testing frameworks,technical
ExUnit,Non technical
RSpec,Non technical
Jest,Non technical
pytest,Non technical
profiling tools,technical
familiarity,Non technical
caching strategies,Non technical
third party APIs,Non technical
Elixir,Non technical
GraphQL APIs,Non technical
Absinthe,Non technical
GraphQL,Non technical
subscriptions,Non technical
GCP,technical
Kubernetes,technical
JavaScript SSR,technical
startups,Non technical
esports,Non technical
new analytics products,technical
our existing Java,technical
Deployment,technical
configuration,technical
backend systems,technical
RESTful webservices,technical
SQL,technical
relational databases,Non technical
e.g. Postgres,technical
MySQL,technical
columnar and/or time-series databases,Non technical
"e.g. ClickHouse, Druid",technical
InfluxDB,Non technical
Prometheus,Non technical
a cohesive team,Non technical
"verbally, documentation",technical
frameworks,technical
Kubernetes,technical
Kafka,Non technical
programming tasks,technical
mastery,Non technical
reusable design patterns,technical
strong Java script skills,technical
ReactJS,Non technical
UI changes,technical
design specifications,technical
coordination,technical
UI Team,technical
UX,Non technical
UI,technical
complete front-end stack,Non technical
HTML/CSS/SASS,Non technical
JavaScript,technical
front-end UI,technical
backend services,technical
responsive web pages,technical
HTML5,technical
CSS,Non technical
UI frameworks,technical
 Bachelor's degree,Non technical
both custom web/mobile application development & commercial software systems implementations,technical
multiple technical disciplines,technical
QA,Non technical
devops,technical
a modern highly responsive web-based user interface,technical
React JS,Non technical
Redux,Non technical
HTML,Non technical
modular CSS,Non technical
JavaScript,technical
 Familiarity,Non technical
REST APIs,Non technical
deep integrations,technical
automated testing suites,technical
Jest,Non technical
Mocha,Non technical
UX teams,Non technical
amazing and intuitive experiences,Non technical
CI tools,technical
Jenkins,Non technical
Dev-Ops Deployment process,technical
documentation,technical
BDD/TDD,Non technical
 Mentor junior engineers,Non technical
 Familiarity,Non technical
the Flux Design Pattern,technical
Mocha,Non technical
Karma,Non technical
Jest,Non technical
BDD Experience,technical
RESTFUL API,technical
reliability,Non technical
game reliability issues,Non technical
front-line dev,technical
a Final Gatekeeper,Non technical
hotfixes,Non technical
service outages,technical
e.g. GCP,technical
AWS,technical
e.g. JavaScript,technical
Scripting,Non technical
e.g. Bash,technical
Python,technical
Ruby,Non technical
Grafana,Non technical
NewRelic,Non technical
